Borough,Neighborhood,name,categories,lat,lng
Bronx,Wakefield,Lollipops Gelato,Dessert Shop,40.894123150205274,-73.84589162362325
Bronx,Wakefield,Rite Aid,Pharmacy,40.896649,-73.8448461
Bronx,Wakefield,Walgreens,Pharmacy,40.896528,-73.8447
Bronx,Wakefield,Dunkin',Donut Shop,40.8904587811365,-73.84908886747644
Bronx,Wakefield,Carvel Ice Cream,Ice Cream Shop,40.890486685759605,-73.84856772568665
Bronx,Wakefield,Shell,Gas Station,40.894187118166535,-73.84586195733382
Bronx,Wakefield,Subway,Sandwich Place,40.89046821651127,-73.8491520209833
Bronx,Wakefield,Cooler Runnings Jamaican Restaurant Inc,Caribbean Restaurant,40.898083,-73.850259
Bronx,Wakefield,Central Deli,Deli / Bodega,40.896728,-73.844387
Bronx,Wakefield,Koss Quick Wash,Laundromat,40.891281,-73.84990400000001
Bronx,Co-op City,Rite Aid,Pharmacy,40.8703448818904,-73.82830202579498
Bronx,Co-op City,Dollar Tree,Discount Store,40.87012498449601,-73.82898863175873
Bronx,Co-op City,Capri II Pizza,Pizza Place,40.87637420537464,-73.82994042507629
Bronx,Co-op City,United States Postal Service,Post Office,40.876544999714135,-73.82897794246674
Bronx,Co-op City,Bagels on Bartow,Bagel Shop,40.87028,-73.828611
Bronx,Co-op City,Arby's,Fast Food Restaurant,40.8704113,-73.828606
Bronx,Co-op City,Food Universe Marketplace,Grocery Store,40.87673987981054,-73.82898048976519
Bronx,Co-op City,Townhouse Restaurant,Restaurant,40.876085887834265,-73.82886815052547
Bronx,Co-op City,MTA MaBSTOA Bus Bx28 / Bx30 / Bx38 / MTA Bus Bx23/ BxM7/ Q50 at the Dreiser Loop / Co-op City Blvd (Section 1/2),Bus Station,40.875943195045075,-73.82940420195395
Bronx,Co-op City,truman track n field,Baseball Field,40.87496253317124,-73.83084729386773
Bronx,Co-op City,Guang Hui Chinese Restaurant,Chinese Restaurant,40.876651,-73.829092
Bronx,Co-op City,GREEN WAY IN CO OP CITY,Trail,40.87454754839479,-73.82618915642101
Bronx,Co-op City,The Park,Park,40.87764512391663,-73.83083580661068
Bronx,Co-op City,MTA MaBSTOA Bus Bx23 / Bx30 / Bx38 / Q50 at Donizetti Place & Baychester Ave (Section 1),Bus Station,40.87618793183889,-73.833838139328
Bronx,Co-op City,The City Lounge,Bar,40.87675476074219,-73.83340454101562
Bronx,Co-op City,Triangle Plaza,Plaza,40.87684685845825,-73.83408667371911
Bronx,Co-op City,Jimmy Jazz,Accessories Store,40.87328580179024,-73.82436990737915
Bronx,Eastchester,Fish & Ting,Caribbean Restaurant,40.885656,-73.829197
Bronx,Eastchester,Cozy Cottage Restaurant,Diner,40.88633207186384,-73.82761561924221
Bronx,Eastchester,Mario's Pizza,Pizza Place,40.88862762439113,-73.83126012557018
Bronx,Eastchester,Dunkin',Donut Shop,40.88538419291817,-73.8280987591753
Bronx,Eastchester,Dyre Fish Market,Seafood Restaurant,40.889317642958616,-73.83145257358296
Bronx,Eastchester,Dyre Deli Grocery,Deli / Bodega,40.88823525219036,-73.8312823268945
Bronx,Eastchester,Golden Krust Caribbean Restaurant,Caribbean Restaurant,40.888488,-73.83108299999999
Bronx,Eastchester,BowlerLand,Bowling Alley,40.88601990111869,-73.82320747767668
Bronx,Eastchester,Xing Lung Chinese Restaurant,Chinese Restaurant,40.8887854684858,-73.83122576835156
Bronx,Eastchester,McDonald's,Fast Food Restaurant,40.88563631373264,-73.82683955509486
Bronx,Eastchester,Royal Caribbean Bakery,Caribbean Restaurant,40.888249,-73.831661
Bronx,Eastchester,Dyre Ave Diner,Diner,40.887968729082246,-73.83141284372412
Bronx,Eastchester,Faithy's Kitchen,Caribbean Restaurant,40.889631712697266,-73.83128038311025
Bronx,Eastchester,4 Star Auto Glass,Automotive Shop,40.885905,-73.82732299999999
Bronx,Eastchester,Imperial beverage center,Food & Drink Shop,40.889146992600836,-73.82929692582755
Bronx,Eastchester,MTA Bus - BX 16,Bus Station,40.88790343813609,-73.83125388185631
Bronx,Eastchester,"MTA MaBSTOA & Bee-Line Bus: (Bx16, BL 52, 55)",Bus Station,40.88800860085501,-73.83133279875986
Bronx,Eastchester,MTA Subway - Eastchester/Dyre Ave (5),Metro Station,40.88798538407525,-73.83138309969671
Bronx,Eastchester,Sunshine Supermarket,Deli / Bodega,40.888888,-73.831019
Bronx,Eastchester,Adil Newsstand & Grocery,Convenience Store,40.888433208510854,-73.83127682668768
Bronx,Eastchester,NYCT - Dyre Ave CRC (5),Metro Station,40.8879373791024,-73.83147704066522
Bronx,Eastchester,Freckle's Juice,Juice Bar,40.88878559548764,-73.83117532757048
Bronx,Eastchester,MTA Bus & Bee Line Bx16/W52 @ Dyre Avenue and Light Street,Bus Stop,40.88816692651784,-73.83152504085197
Bronx,Eastchester,MTA MaBSTOA Bus Bx16 / Bx30 and Bee-line Route 52 / 60 / 61 / 62 at Dyre Ave / Boston Road (US 1),Bus Station,40.88461356066747,-73.83152944427044
Bronx,Eastchester,Dome Groomer's,Cosmetics Shop,40.884440701933244,-73.83205345211809
Bronx,Fieldston,Fieldston Road Circle,Plaza,40.89448851736085,-73.90562087134356
Bronx,Fieldston,Riverside Drive,River,40.896507486527454,-73.90826091791374
Bronx,Fieldston,Alba Portable Oxygen Concentrator,Medical Supply Store,40.893021999999995,-73.9104
Bronx,Riverdale,Riverdale Ave,Plaza,40.890424929507866,-73.91024841803598
Bronx,Riverdale,Bell Tower Park,Park,40.88917798960079,-73.90833081276627
Bronx,Riverdale,Chase Bank,Bank,40.888089,-73.907921
Bronx,Riverdale,Seton Park,Park,40.88791393116787,-73.91611321473175
Bronx,Riverdale,Briar Oaks Playground,Playground,40.89103401480143,-73.90914916992188
Bronx,Riverdale,9A North,Moving Target,40.88978340962211,-73.90895662015372
Bronx,Riverdale,Riverdale Y Greenmarket,Farmers Market,40.887641737247215,-73.91315869104763
Bronx,Riverdale,Park Lunch,Food Truck,40.887052545514,-73.91315349663765
Bronx,Riverdale,Shallash Pest Control,Home Service,40.89466945869686,-73.91321539878845
Bronx,Riverdale,Hayden On Hudson Gym,Gym,40.889593,-73.917446
Bronx,Riverdale,Raoul Wallenberg Forest,Park,40.88793548229323,-73.91602204786254
Bronx,Riverdale,MTA MaBSTOA Bus Bx7 / Bx10 / Bx20 / BxM1 / BxM2 / BxM18 at 246th St. / Hudson Parkway,Bus Station,40.89354823043404,-73.90815138816833
Bronx,Riverdale,Spuyten Duyvil Playground,Playground,40.8872269807248,-73.91605773455
Bronx,Kingsbridge,Garden Gourmet Market,Gourmet Shop,40.88135023917183,-73.90338943716417
Bronx,Kingsbridge,Leche y Miel,Latin American Restaurant,40.883742,-73.90185699999999
Bronx,Kingsbridge,Kingsbridge Social Club,Pizza Place,40.884581,-73.901999
Bronx,Kingsbridge,El Malecon,Caribbean Restaurant,40.87933806746814,-73.90445707056641
Bronx,Kingsbridge,Sam's Pizza,Pizza Place,40.87943501792795,-73.90585879861192
Bronx,Kingsbridge,Carvel Ice Cream,Ice Cream Shop,40.883657145742866,-73.90165452034793
Bronx,Kingsbridge,Smashburger,Burger Joint,40.8842208517097,-73.90033254824955
Bronx,Kingsbridge,The Bronx Public,Pub,40.87837659295958,-73.90348117090952
Bronx,Kingsbridge,Bronx Alehouse,Beer Bar,40.8846317,-73.899705
Bronx,Kingsbridge,BJ's  Wholesale Club,Warehouse Store,40.88410355664641,-73.90026731218994
Bronx,Kingsbridge,Estrellita Poblana V,Mexican Restaurant,40.879687039717524,-73.906256832975
Bronx,Kingsbridge,Mon Amour Coffee & Wine,Coffee Shop,40.88500863418534,-73.90033222698838
Bronx,Kingsbridge,El Economico Restaurant,Spanish Restaurant,40.87933018698782,-73.90459710835415
Bronx,Kingsbridge,Tilila,Bar,40.88387242577101,-73.89820853750416
Bronx,Kingsbridge,Q'Kachapa,Spanish Restaurant,40.880005888670006,-73.9041570896363
Bronx,Kingsbridge,Chipotle Mexican Grill,Mexican Restaurant,40.88456619551229,-73.9004737612446
Bronx,Kingsbridge,Buffalo Wild Wings,Wings Joint,40.88446010603608,-73.90042394399643
Bronx,Kingsbridge,MyUnique,Thrift / Vintage Store,40.88196572342435,-73.90358396335206
Bronx,Kingsbridge,The Putnam Trail,Trail,40.88518925064586,-73.89944963459462
Bronx,Kingsbridge,Loeser's Delicatessen,Sandwich Place,40.879111,-73.905693
Bronx,Kingsbridge,Picante Picante Mexican Restaurant,Mexican Restaurant,40.878252,-73.902936
Bronx,Kingsbridge,ALDI,Supermarket,40.8778363,-73.9046557
Bronx,Kingsbridge,Sugarboy Bakery Cafe,Bakery,40.877947999999996,-73.90286
Bronx,Kingsbridge,Broadway Pizza & Pasta,Pizza Place,40.87882247136464,-73.90449402840686
Bronx,Kingsbridge,Riverdale Diner,Diner,40.88518285486937,-73.89948352054364
Bronx,Kingsbridge,S & S Cheesecake,Bakery,40.88479273266669,-73.89986081581755
Bronx,Kingsbridge,Leila's Hand Dipped Chocolate,Candy Store,40.879540999999996,-73.905327
Bronx,Kingsbridge,Lot Less Closeouts,Discount Store,40.878270422202085,-73.9052646742604
Bronx,Kingsbridge,Dunkin',Donut Shop,40.879359,-73.9050772
Bronx,Kingsbridge,Enterprise Rent-A-Car,Rental Car Location,40.879866093214,-73.90384738148896
Bronx,Kingsbridge,Land & Sea Restaurant,Seafood Restaurant,40.87788463309788,-73.90587282193539
